Year,Length,Title,Subject,Actor
1990,111,Tie Me Up! Tie Me Down!,Comedy,Banderas
1979,122,Cuba,Action,Connery
1978,94,Days of Heaven,Drama,Gere
1983,140,Octopussy,Action,Moore
1984,101,Target Eagle,Action,Connors
1985,104,Subway,Drama,Lambert
1990,149,Camille Claudel,Drama,Depardieu
1982,188,Fanny and Alexander,Drama,Ahlstedt
1982,117,Tragedy of a Ridiculous Man,Drama,Tognazzi
1966,103,A Man & a Woman,Drama,Trintignant
1986,112,A Man & a Woman: Twenty Years Later,Drama,Trintignant
1966,103,Un Hombre y una Mujer,Drama,Trintignant
1929,84,Blackmail,Mystery,Longden
1963,109,Donovan's Reef,Comedy,Wayne
1988,110,Tucker: The Man & His Dream,Drama,Bridges
1988,101,Scrooged,Comedy,Murray
1981,116,Raiders of the Lost Ark,Action,Ford
1991,105,Predator 2,Action,Glover
1988,127,Colors,Drama,Penn
1990,97,Zandalee,Drama,Cage
1988,108,Miles from Home,Drama,Anderson
1989,88,Final Notice,Mystery,Gerard
1979,110,Quintet,Drama,Newman
1992,90,Germicide,Drama,Taylor
1972,91,Cries & Whispers,Drama,Josephson
1967,130,Casino Royale,Comedy,Niven
1954,103,Elephant Walk,Drama,Finch
1979,121,Ten,Comedy,Moore
1966,190,Hawaii,Drama,Sydow
1966,125,Torn Curtain,Mystery,Newman
1986,107,Duet for One,Drama,Bates
1985,55,Gonzo Presents Muppet Weird Stuff,Comedy,Cleese
1984,140,Tartuffe,Comedy,Depardieu
1988,104,A New Life,Comedy,Alda
1978,106,Magic,Mystery,Hopkins
1992,286,Tommy,Music,Daltry
1992,95,Alan & Naomi,Drama,Haas
1987,120,Fatal Attraction,Mystery,Douglas
1992,117,Patriot Games,Action,Ford
1992,97,Hunting,Mystery,Savage
1991,115,Bataan,War,Taylor
1991,115,Flight of the Intruder,Drama,Glover
1986,108,Nobody's Fool,Comedy,Roberts
1985,97,After Hours,Comedy,Dunne
1985,104,Desperately Seeking Susan,Comedy,Quinn
1971,102,A New Leaf,Comedy,Matthau
1959,91,Killers of Kilimanjaro,Action,Taylor
1926,126,Don Juan,Action,Barrymore
1987,102,Babette's Feast,Drama,LaFont
1988,141,Thunderball,Action,Connery
1926,66,Lodger (Story of the London Fog),Mystery,Chesney
1988,103,Appointment with Death,Mystery,Ustinov
1974,128,Murder on the Orient Express,Mystery,Balsam
1955,115,Blood Alley,War,Wayne
1988,100,Storm,Action,Palfy
1991,89,Bloodbath,Horror,Hopper
1989,103,Miami Cops,Action,Roundtree
1992,100,Eighty-Four Charing Cross Road,Drama,Hopkins
1988,90,Dr Alien,Science Fiction,Jacoby
1982,120,Creepshow,Horror,Holbrook
1987,100,Sammy & Rosie Get Laid,Drama,Din
1957,99,Mademoiselle Striptease,Comedy,Gelin
1958,77,That Naughty Girl,Comedy,Bretonniere
1959,90,Voulez-Vous Danser Avec Moi?,Comedy,Vidal
1968,113,Shalako,Westerns,Connery
1964,102,Contempt,Drama,Palance
1965,100,Dear Brigitte,Comedy,Mumy
1962,134,A Very Private Affair,Drama,Mastroianni
1955,90,Doctor at Sea,Comedy,Bogarde
1957,90,And God Created Woman,Drama,Jurgens
1973,87,Ms. Don Juan,Drama,Ronet
1987,97,Siesta,Drama,Byrne
1932,92,Rich & Strange,Drama,Kendall
1987,104,Lionheart,Action,Stoltz
1982,115,E. T. The Extra-Terrestrial,Science Fiction,Wallace
1992,101,Cool World,Drama,Byrne
1988,83,Nadine,Comedy,Bridges
1989,126,Batman,Action,Nicholson
1987,95,Blind Date,Comedy,Willis
1982,101,Mother Lode,Action,Heston
1992,125,Final Analysis,Drama,Gere
1983,134,Never Say Never Again,Action,Connery
1986,117,Nine & a Half Weeks,Drama,Rourke
1986,108,No Mercy,Drama,Gere
1990,123,Misery,Horror,Caan
1946,93,Crisis,Drama,Andersson
1984,95,Samson & Delilah,Drama,Hamilton
1990,101,Act of Piracy,Mystery,Busey
1988,96,Split Decisions,Drama,Hackman
1989,103,Vampire's Kiss,Comedy,Cage
1988,96,Nightmare at Noon,Action,Hauser
1990,127,Presumed Innocent,Mystery,Ford
1942,123,Reap the Wild Wind,Drama,Wayne
1972,100,Pocket Money,Comedy,Newman
1977,102,Mary White,Drama,Flanders
1990,105,Guilty by Suspicion,Drama,De Niro
1948,99,Secret Beyond the Door,Mystery,Redgrave
1945,103,Scarlet Street,Drama,Robinson
1988,76,Daffy Duck's Quackbusters,Action,Blanc
1985,55,Rowlf's Rhapsodies with the Muppets,Comedy,Burns
1982,188,Gandhi,Drama,Kingsley
1971,96,Carnal Knowledge,Drama,Nicholson
1970,126,Getting Straight,Comedy,Gould
1944,114,Gaslight,Drama,Boyer
1958,100,Indiscreet,Drama,Grant
1948,100,Joan of Arc,Drama,Ferrer
1982,195,A Woman Called Golda,Drama,Beatty
1969,98,A Walk in the Spring Rain,Drama,Quinn
1949,117,Under Capricorn,Drama,Cotten
1946,101,Notorious,Mystery,Grant
1940,90,June Night,Drama,Widgren
1961,120,Goodbye Again,Drama,Perkins
1956,106,Anastasia,Drama,Tamiroff
1937,91,Intermezzo,Drama,Ekman
1938,104,A Woman's Face,Drama,Svennberg
1935,90,Swedenhielms,Drama,Westergren
1939,87,Only One Night,Drama,Adolphson
1938,74,Dollar,Drama,Rydeberg
1956,98,Elena & Her Men,Drama,Ferrer
1952,110,Europa Fifty-One,Drama,Knox
1953,83,Voyage in Italy,Drama,Sanders
1954,81,Fear,Drama,Wieman
1950,107,Stromboli,Drama,Vitale
1969,103,Cactus Flower,Comedy,Matthau
1989,105,Hideaways,Comedy,Conover
1990,90,Twenty Four Hours in a Woman's Life,Drama,Torn
1987,91,Programmed to Kill,Action,Ginty
1982,128,Conan the Barbarian,Action,Schwarzenegger
1991,91,Raw Nerve,Mystery,Ford
1970,94,Think Dirty,Comedy,Feldman
1982,108,King of Comedy,Drama,De Niro
1984,158,Amadeus,Drama,Abraham
1973,101,White Lightning,Action,Reynolds
1970,137,Airport,Drama,Lancaster
1973,116,Day for Night,Drama,Aumont
1952,107,Secrets of Women,Comedy,Malmsten
1976,116,Burnt Offerings,Horror,Reed
1969,94,Easy Rider,Drama,Fonda
1991,98,Five Easy Pieces,Drama,Nicholson
1964,112,Goldfinger,Action,Connery
1942,88,Lady for a Night,Drama,Wayne
1968,103,Charly,Drama,Robertson
1973,105,High Plains Drifter,Western,Eastwood
1982,123,Honkytonk Man,Drama,Eastwood
1990,102,Nightbreed,Horror,Cronenberg
1987,98,Under the Sun of Satan,Drama,Depardieu
1985,105,Vagabond,Drama,Meril
1974,89,Monty Python & the Holy Grail,Comedy,Chapman
1993,65,John Cleese on How to Irritate People,Comedy,Cleese
1981,129,For Your Eyes Only,Action,Moore
1928,139,Wings,War,Rogers
1992,106,Medicine Man,Action,Connery
1985,119,Kiss of the Spider Woman,Drama,Hurt
